"county_code","date_id","Trump","Clinton","Johnson","Stein"
13029,"0917",1.77,6.07,0,0
13031,"0917",1.85,4.04,0,0
13033,"0917",1.85,3.86,0,0
13035,"0917",2.73,6.20,0,0
13037,"0917",0.65,1.30,0,0
13039,"0917",2.40,5.52,0,0
13043,"0917",0.00,2.63,0,0
13045,"0917",2.00,4.88,0,0
13047,"0917",3.04,5.94,0,0
13049,"0917",2.19,6.20,0,0
13051,"0917",2.53,4.38,0,0
13053,"0917",1.75,5.21,0,0
13055,"0917",3.01,6.24,0,0
13057,"0917",2.60,7.80,0,0
13059,"0917",2.55,5.32,0,0
13061,"0917",2.33,0.78,0,0
13063,"0917",1.76,2.54,0,0
13065,"0917",2.59,3.70,0,0
13067,"0917",2.45,5.46,0,0
13069,"0917",1.33,4.13,0,0
13071,"0917",1.94,4.18,0,0
13073,"0917",2.13,6.41,0,0
13075,"0917",1.99,4.28,0,0
13077,"0917",2.40,5.04,0,0
13079,"0917",1.49,4.47,0,0
13081,"0917",3.11,4.10,0,0
13083,"0917",1.52,5.65,0,0
13085,"0917",2.45,6.59,0,0
13087,"0917",1.41,3.26,0,0
13089,"0917",2.33,4.45,0,0
13091,"0917",0.67,3.99,0,0
13093,"0917",2.79,3.67,0,0
13095,"0917",2.69,4.84,0,0
13097,"0917",2.58,4.30,0,0
13099,"0917",1.78,2.59,0,0
13101,"0917",3.21,5.31,0,0
13103,"0917",1.91,5.38,0,0
13105,"0917",1.75,4.66,0,0
13107,"0917",2.23,3.23,0,0
13109,"0917",1.47,4.41,0,0
13111,"0917",2.36,7.54,0,0
13113,"0917",2.58,5.36,0,0
13115,"0917",1.89,5.77,0,0
13117,"0917",3.16,7.42,0,0
13119,"0917",2.21,5.25,0,0
13121,"0917",2.44,5.16,0,0
13123,"0917",1.88,7.15,0,0
13125,"0917",0.80,1.60,0,0
13127,"0917",2.16,5.67,0,0
13129,"0917",2.54,5.49,0,0
13131,"0917",1.59,4.31,0,0
13133,"0917",2.90,11.29,0,0
13135,"0917",2.16,4.71,0,0
13137,"0917",2.10,4.87,0,0
13139,"0917",2.37,5.10,0,0
13141,"0917",1.67,1.33,0,0
13143,"0917",5.88,7.31,0,0
13145,"0917",2.43,6.30,0,0
13147,"0917",2.43,5.06,0,0
13149,"0917",2.73,6.06,0,0
13151,"0917",2.57,4.34,0,0
13153,"0917",1.67,4.89,0,0
13155,"0917",2.68,5.58,0,0
13157,"0917",2.13,6.44,0,0
13159,"0917",4.32,5.04,0,0
13161,"0917",1.29,4.52,0,0
13163,"0917",1.39,3.97,0,0
13165,"0917",1.17,2.57,0,0
13167,"0917",5.12,4.09,0,0
13169,"0917",1.95,4.00,0,0
13171,"0917",2.17,6.89,0,0
13173,"0917",1.90,4.76,0,0
13175,"0917",1.62,4.86,0,0
13177,"0917",2.79,4.38,0,0
13179,"0917",1.50,3.08,0,0
13181,"0917",3.84,6.67,0,0
13183,"0917",3.10,2.69,0,0
13185,"0917",1.88,4.20,0,0
13187,"0917",2.43,7.63,0,0
13189,"0917",2.84,5.08,0,0
13191,"0917",1.47,3.91,0,0
13193,"0917",1.42,3.65,0,0
13195,"0917",1.42,5.17,0,0
13197,"0917",1.45,4.00,0,0
13199,"0917",1.94,4.57,0,0
13201,"0917",0.78,6.22,0,0
13205,"0917",1.30,4.06,0,0
13207,"0917",3.99,5.35,0,0
13209,"0917",1.73,3.45,0,0
13211,"0917",3.81,7.06,0,0
13213,"0917",2.13,4.33,0,0
13215,"0917",1.93,4.15,0,0
13217,"0917",2.01,4.15,0,0
13219,"0917",2.19,7.74,0,0
13221,"0917",2.43,5.12,0,0
13223,"0917",3.04,6.52,0,0
13225,"0917",1.57,4.87,0,0
13227,"0917",1.80,6.77,0,0
13229,"0917",0.82,4.04,0,0
13231,"0917",1.59,3.92,0,0
13233,"0917",2.64,4.59,0,0
13235,"0917",1.60,3.44,0,0
13237,"0917",2.13,6.41,0,0
13239,"0917",3.25,2.60,0,0
13241,"0917",1.81,5.42,0,0
13243,"0917",3.37,4.15,0,0
13245,"0917",1.80,3.96,0,0
13247,"0917",1.47,3.58,0,0
13249,"0917",0.41,3.70,0,0
13251,"0917",1.12,6.54,0,0
13253,"0917",1.48,4.64,0,0
13255,"0917",2.01,4.00,0,0
13257,"0917",2.00,6.21,0,0
13259,"0917",2.05,2.63,0,0
13261,"0917",1.92,4.57,0,0
13263,"0917",7.10,6.51,0,0
13265,"0917",2.13,3.19,0,0
13267,"0917",1.44,4.37,0,0
13269,"0917",1.94,3.36,0,0
13271,"0917",1.45,2.90,0,0
13273,"0917",3.91,2.79,0,0
13275,"0917",2.04,4.07,0,0
13277,"0917",2.04,4.36,0,0
13279,"0917",1.39,4.35,0,0
13281,"0917",1.39,5.32,0,0
13283,"0917",5.29,5.29,0,0
13285,"0917",2.52,4.50,0,0
13287,"0917",2.17,3.50,0,0
13289,"0917",1.82,2.27,0,0
13291,"0917",2.55,6.43,0,0
13293,"0917",2.95,5.71,0,0
13295,"0917",1.75,5.28,0,0
13297,"0917",2.55,5.88,0,0
13299,"0917",1.83,4.29,0,0
13301,"0917",1.56,4.36,0,0
13303,"0917",2.08,2.44,0,0
13305,"0917",0.97,4.15,0,0
13307,"0917",2.15,4.30,0,0
13309,"0917",1.35,4.04,0,0
13311,"0917",2.22,6.50,0,0
13313,"0917",2.76,5.04,0,0
13315,"0917",1.72,2.58,0,0
13317,"0917",2.22,5.42,0,0
13319,"0917",0.77,3.52,0,0
13321,"0917",1.68,3.13,0,0
15001,"0917",1.99,3.58,0,0
15003,"0917",1.64,3.10,0,0
15005,"0917",0.00,0.00,0,0
15007,"0917",1.86,4.37,0,0
15009,"0917",2.25,4.34,0,0
16001,"0917",2.04,5.00,0,0
16003,"0917",0.92,5.52,0,0
16005,"0917",2.04,4.61,0,0
16007,"0917",3.05,4.33,0,0
16009,"0917",1.25,3.76,0,0
16011,"0917",1.82,4.04,0,0
16013,"0917",2.96,5.73,0,0
16015,"0917",1.34,5.11,0,0
16017,"0917",1.68,6.68,0,0
16019,"0917",1.43,4.31,0,0
16021,"0917",2.21,6.64,0,0
16023,"0917",2.33,3.49,0,0
16025,"0917",0.00,1.43,0,0
16027,"0917",1.84,4.75,0,0
16029,"0917",0.81,4.88,0,0
16031,"0917",3.18,5.48,0,0
16033,"0917",2.94,2.94,0,0
16035,"0917",4.56,6.95,0,0
16037,"0917",1.44,5.26,0,0
16039,"0917",0.77,2.25,0,0
16041,"0917",1.42,4.74,0,0
16043,"0917",2.16,5.11,0,0
16045,"0917",2.98,5.05,0,0
16047,"0917",1.37,2.86,0,0
16049,"0917",2.12,3.64,0,0
16051,"0917",1.43,4.03,0,0
16053,"0917",0.92,3.59,0,0
16055,"0917",1.84,6.17,0,0
16057,"0917",1.95,4.49,0,0
16059,"0917",1.28,3.67,0,0
16061,"0917",3.60,5.41,0,0
16063,"0917",1.72,3.79,0,0
16065,"0917",1.55,3.08,0,0
16067,"0917",1.39,3.51,0,0
16069,"0917",1.69,4.34,0,0
16071,"0917",0.55,4.92,0,0
16073,"0917",1.68,2.79,0,0
16075,"0917",2.96,4.52,0,0
16077,"0917",2.24,3.99,0,0
16079,"0917",0.84,4.09,0,0
16081,"0917",1.61,5.49,0,0
16083,"0917",1.54,3.24,0,0
16085,"0917",2.41,5.64,0,0
16087,"0917",1.58,3.68,0,0
17001,"0917",2.13,4.59,0,0
17003,"0917",2.47,5.30,0,0
17005,"0917",1.86,7.96,0,0
17007,"0917",2.16,4.53,0,0
17009,"0917",1.65,4.62,0,0
17011,"0917",2.63,5.09,0,0
17013,"0917",3.33,0.00,0,0
17015,"0917",1.30,6.29,0,0
17017,"0917",2.62,3.01,0,0
17019,"0917",2.03,4.44,0,0
17021,"0917",1.74,5.15,0,0
17023,"0917",2.16,4.32,0,0
17025,"0917",3.42,5.09,0,0
17027,"0917",1.07,4.24,0,0
17029,"0917",1.92,5.00,0,0
17031,"0917",2.40,4.73,0,0
17033,"0917",1.15,3.69,0,0
17035,"0917",3.05,7.78,0,0
17037,"0917",2.54,4.84,0,0
17039,"0917",2.41,5.80,0,0
17041,"0917",1.87,4.70,0,0
17043,"0917",2.68,5.43,0,0
17045,"0917",5.95,6.17,0,0
17047,"0917",2.95,5.54,0,0
17049,"0917",3.41,5.46,0,0
17051,"0917",1.78,4.50,0,0
17053,"0917",4.80,6.03,0,0
17055,"0917",3.39,5.68,0,0
17057,"0917",1.57,4.63,0,0
17059,"0917",2.12,4.66,0,0
17061,"0917",2.16,9.08,0,0
17063,"0917",1.73,4.90,0,0
17065,"0917",1.62,5.88,0,0
17067,"0917",1.79,4.35,0,0
17069,"0917",1.26,5.44,0,0
17071,"0917",1.47,3.19,0,0
17073,"0917",2.13,4.48,0,0
17075,"0917",2.53,6.67,0,0
17077,"0917",2.51,3.83,0,0
17079,"0917",2.78,3.80,0,0
17081,"0917",2.25,5.57,0,0
17083,"0917",1.80,4.36,0,0
17085,"0917",1.99,5.57,0,0
17087,"0917",1.43,3.85,0,0
17089,"0917",2.68,5.49,0,0
17091,"0917",1.93,4.54,0,0
17093,"0917",2.24,4.72,0,0
17095,"0917",5.30,7.23,0,0
17097,"0917",2.63,5.29,0,0
17099,"0917",2.07,5.03,0,0
17101,"0917",2.63,3.58,0,0
17103,"0917",2.38,5.45,0,0
17105,"0917",2.33,5.71,0,0
17107,"0917",1.24,3.39,0,0
17109,"0917",2.01,4.73,0,0
17111,"0917",2.85,5.90,0,0
17113,"0917",2.29,4.99,0,0
17115,"0917",2.47,5.64,0,0
17117,"0917",3.11,5.84,0,0
